Date,Open,Close,Volume,Nifty50,VWAP,RVOL,IPR,SMA_Close_F,SMA_Close_M,SMA_Close_S,EMA_Close_F,EMA_Close_M,EMA_Close_S,DEMA_Close_F,DEMA_Close_M,DEMA_Close_S,macd,dn,up,RSI_Close,TrueRange,AvgTrueRange,OBV,SAR,COD,VOL,lag1,lag2,lag3,lag4,lag5,rpi,eps,pe
23/02/2022,2216.2146,2191.247314,6747457,17092.19922,1490.051723,1.060838872,44.99633789,2228.075049,2212.171802,2193.067993,2217.340054,2212.876675,2212.629568,2218.753028,2219.121636,2206.128541,-0.144508892,2132.00049,2254.135496,48.24349041,48.68823242,47.57625044,1015913048,2138.469948,33.3203125,2.071916135,2205.046143,2215.106934,2237.720459,2255.349609,2227.1521,0.0601,27.6,7.85
24/02/2022,2127.51416,2082.056396,3655055,17063.25,1490.268256,0.616315904,35.58154297,2220.894092,2211.299561,2193.104907,2208.642474,2208.944064,2210.593163,2203.78607,2210.835987,2202.868819,-0.208210499,2132.042744,2254.167071,46.1083604,35.58154297,46.71948562,1012257993,2143.621404,-24.96728516,1.605509817,2191.247314,2205.046143,2215.106934,2237.720459,2255.349609,0.0601,27.6,7.85
25/02/2022,2104.531494,2108.085205,12423325,16247.9502,1490.888752,2.053053596,89.06958008,2186.235449,2199.734351,2189.304456,2166.447115,2185.873579,2198.351566,2135.079273,2168.545665,2180.287144,-0.652068005,2112.547596,2266.061315,33.48099063,120.5898438,51.99593978,999834668,2267.256348,-45.45776367,4.186556393,2082.056396,2191.247314,2205.046143,2215.106934,2237.720459,0.0601,27.6,7.85
28/02/2022,2070.28833,2177.86377,7285044,16658.40039,1491.268001,1.204397494,29.2590332,2160.308398,2191.201221,2186.909277,2146.993145,2171.730238,2189.75477,2113.111937,2145.98103,2165.632715,-0.90033167,2103.446745,2270.371809,37.850412,48.18066406,51.72342008,1007119712,2267.256348,3.553710938,1.390287258,2108.085205,2082.056396,2191.247314,2205.046143,2215.106934,0.0601,27.6,7.85
02/03/2022,2154.696533,2213.86084,10648723,16793.90039,1491.884138,1.696318809,114.7749023,2152.859766,2193.139502,2185.660913,2157.283353,2172.845426,2188.622294,2141.55602,2152.690318,2165.772956,-0.830036529,2102.441779,2268.880047,47.75766321,114.7749023,56.22709739,1017768435,2259.392393,107.5754395,5.543909062,2177.86377,2108.085205,2082.056396,2191.247314,2205.046143,0.0601,27.6,7.85
03/03/2022,2215.199219,2195.170166,10735893,16605.94922,1492.536738,1.655667252,66.27148438,2154.622705,2191.348877,2186.57699,2176.142515,2180.302774,2191.025965,2178.230401,2169.913697,2172.527504,-0.6338429,2102.543674,2270.610305,52.0079122,66.27148438,56.9445536,1028504328,2248.046149,59.16430664,3.075676011,2213.86084,2177.86377,2108.085205,2082.056396,2191.247314,0.0601,27.6,7.85
04/03/2022,2171.818115,2146.481934,5093374,16498.05078,1492.837923,0.784977978,41.3503418,2155.407275,2188.150684,2186.334705,2182.485066,2183.005936,2191.420651,2188.105356,2176.717461,2175.041045,-0.54122218,2102.42993,2270.239479,49.74492028,41.3503418,55.83068133,1023410954,2237.38068,-20.02905273,1.866664698,2195.170166,2213.86084,2177.86377,2108.085205,2082.056396,0.0601,27.6,7.85
07/03/2022,2103.239258,2067.104004,5402833,16245.34961,1493.134998,0.828734524,40.56567383,2168.292383,2177.263916,2185.079431,2170.484022,2176.365208,2187.140773,2166.230186,2165.786769,2168.448859,-0.640376316,2099.593407,2270.565456,44.33329932,53.48779297,55.66333216,1018008121,2228.905762,-25.33618164,1.867820953,2146.481934,2195.170166,2213.86084,2177.86377,2108.085205,0.0601,27.6,7.85
08/03/2022,2041.213745,2063.365723,8991655,15863.15039,1493.56881,1.343556278,83.16235352,2160.096143,2160.202271,2180.845178,2136.024016,2156.499535,2175.7087,2110.214788,2131.590716,2148.453664,-1.003085803,2081.859647,2279.830709,37.22351462,95.57666016,58.51428416,1009016466,2219.388716,-36.13525391,3.954012992,2067.104004,2146.481934,2195.170166,2213.86084,2177.86377,0.0601,27.6,7.85
09/03/2022,2063.827393,2172.833496,10644687,16013.4502,1494.078186,1.530112178,60.91809082,2137.196533,2145.028149,2177.079333,2111.804585,2139.566114,2165.009369,2078.452146,2105.331555,2130.669703,-1.292612972,2066.869728,2287.288939,36.92319578,60.91809082,58.68598463,998371779,2205.91004,22.15197754,2.984405282,2063.365723,2067.104004,2146.481934,2195.170166,2213.86084,0.0601,27.6,7.85
